                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.55237,                0.45966,                 0.9496,                0.98077,                0.99022,                0.98083,                0.80363,                0.67889,                0.42704,                 0.9976,             0.00092435,             0.00092435,             0.00092435
                     47,                0.54064,                0.44858,                0.93435,                0.97707,                0.98058,                0.98248,                0.80443,                0.69032,                 0.4352,                 1.0036,             0.00090785,             0.00090785,             0.00090785
                     48,                0.55731,                0.45447,                0.94566,                 0.9792,                0.98058,                0.99026,                0.81563,                0.65846,                0.39965,                0.98477,             0.00089134,             0.00089134,             0.00089134
                     49,                0.54186,                0.45114,                0.94426,                0.98057,                0.98019,                0.98451,                0.82886,                0.63944,                0.38642,                0.96907,             0.00087484,             0.00087484,             0.00087484
                     50,                0.53675,                0.43821,                0.93856,                0.98035,                0.96868,                0.99076,                0.83542,                0.62315,                0.42232,                0.95002,             0.00085834,             0.00085834,             0.00085834
                     51,                0.53191,                0.44237,                0.94513,                0.97841,                0.96117,                0.99212,                0.82336,                0.68397,                0.41542,                0.97089,             0.00084184,             0.00084184,             0.00084184
                     52,                0.52103,                 0.4426,                0.93606,                0.95876,                0.99029,                0.99063,                0.83032,                0.65163,                0.43295,                0.95579,             0.00082533,             0.00082533,             0.00082533
                     53,                0.53792,                0.43159,                0.92751,                0.97899,                0.99029,                0.99047,                 0.8328,                 0.6508,                0.38704,                0.97129,             0.00080883,             0.00080883,             0.00080883
                     54,                0.51527,                0.42678,                0.92481,                0.98058,                0.98041,                0.99288,                0.84304,                0.60821,                  0.392,                0.94775,             0.00079233,             0.00079233,             0.00079233
                     55,                0.49994,                0.41324,                0.92015,                0.97621,                0.98058,                0.98725,                0.82358,                0.64735,                0.40146,                0.96515,             0.00077582,             0.00077582,             0.00077582
