                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.43627,                0.36129,                0.93386,                0.96846,                0.97087,                0.99176,                0.83705,                0.62821,                0.35435,                 1.1132,             0.00051177,             0.00051177,             0.00051177
                     72,                0.44518,                0.37804,                0.93247,                0.97937,                0.97087,                0.99082,                0.84296,                0.62077,                0.35125,                 1.0925,             0.00049527,             0.00049527,             0.00049527
                     73,                0.43005,                0.35248,                0.93028,                0.96929,                0.97087,                0.99064,                0.82503,                0.63383,                0.35409,                 1.1292,             0.00047876,             0.00047876,             0.00047876
                     74,                0.43013,                0.35427,                0.93419,                0.95204,                0.96357,                0.99183,                0.82908,                0.62266,                0.34501,                 1.1201,             0.00046226,             0.00046226,             0.00046226
                     75,                0.43663,                0.34802,                0.92529,                0.97595,                0.98058,                0.98601,                0.83802,                0.61573,                0.34032,                 1.1037,             0.00044576,             0.00044576,             0.00044576
                     76,                0.42713,                 0.3425,                0.93616,                0.98054,                0.97849,                0.98423,                0.83394,                0.63903,                0.34544,                 1.1187,             0.00042925,             0.00042925,             0.00042925
                     77,                 0.4303,                0.33093,                0.92451,                0.97107,                0.97775,                0.98534,                0.82917,                0.61647,                0.33711,                 1.0893,             0.00041275,             0.00041275,             0.00041275
                     78,                0.41429,                0.33179,                0.91209,                0.98033,                0.96792,                0.97797,                0.81418,                0.62952,                0.35812,                 1.1153,             0.00039625,             0.00039625,             0.00039625
                     79,                0.42049,                0.33495,                0.93823,                 0.9698,                0.98058,                0.98319,                0.83051,                0.61824,                0.34335,                 1.0881,             0.00037974,             0.00037974,             0.00037974
                     80,                0.41879,                0.33684,                0.92079,                0.96146,                0.96882,                 0.9818,                0.81692,                0.63377,                0.35113,                 1.1096,             0.00036324,             0.00036324,             0.00036324
                     81,                0.39731,                0.32906,                0.90022,                0.96763,                0.95146,                0.98572,                0.83989,                0.60394,                0.35053,                 1.0746,             0.00034674,             0.00034674,             0.00034674
                     82,                0.39415,                 0.3184,                0.90742,                0.98174,                0.94175,                0.98379,                0.83231,                0.59495,                 0.3586,                 1.0749,             0.00033023,             0.00033023,             0.00033023
                     83,                 0.3949,                0.32938,                0.91817,                0.96706,                0.97087,                0.98719,                0.81982,                0.61644,                0.34782,                 1.0728,             0.00031373,             0.00031373,             0.00031373
                     84,                0.39318,                0.31863,                0.91715,                0.97165,                0.96117,                 0.9875,                0.82892,                0.61292,                0.34727,                 1.0857,             0.00029723,             0.00029723,             0.00029723
                     85,                0.38876,                 0.3082,                0.90457,                0.97436,                0.97087,                0.98236,                0.83811,                0.60773,                0.34382,                 1.1057,             0.00028072,             0.00028072,             0.00028072
                     86,                0.39147,                0.31851,                  0.907,                0.97021,                0.97087,                0.99378,                0.83907,                 0.6199,                0.33498,                 1.1104,             0.00026422,             0.00026422,             0.00026422
                     87,                 0.3764,                0.31221,                0.90927,                 0.9685,                0.97087,                0.99156,                0.83281,                0.63044,                0.34103,                 1.1036,             0.00024772,             0.00024772,             0.00024772
                     88,                0.35694,                 0.2994,                0.90026,                0.95161,                0.98058,                0.98602,                0.83204,                0.60094,                0.34233,                 1.1015,             0.00023121,             0.00023121,             0.00023121
                     89,                0.36884,                0.30362,                0.90101,                0.97076,                0.96707,                0.98691,                0.84434,                0.58776,                0.34009,                 1.0805,             0.00021471,             0.00021471,             0.00021471
                     90,                0.36551,                0.30172,                0.90563,                0.96075,                0.96117,                0.99179,                0.84815,                0.59023,                0.33935,                 1.0805,             0.00019821,             0.00019821,             0.00019821
                     91,                0.35265,                0.26693,                0.88853,                0.96735,                0.97087,                0.98576,                0.83666,                0.60564,                0.32476,                 1.0742,              0.0001817,              0.0001817,              0.0001817
                     92,                0.33874,                0.25716,                0.87659,                0.97484,                0.97087,                0.98963,                0.84098,                0.61184,                0.33644,                 1.0833,              0.0001652,              0.0001652,              0.0001652
                     93,                0.34586,                0.25545,                0.87953,                0.97065,                0.97087,                0.98257,                0.83606,                0.60815,                0.34684,                 1.0699,              0.0001487,              0.0001487,              0.0001487
                     94,                0.33325,                0.25199,                0.86068,                0.96148,                0.96925,                0.98128,                0.84001,                0.58544,                0.33891,                 1.0643,             0.00013219,             0.00013219,             0.00013219
                     95,                0.31831,                0.24682,                0.86551,                0.96185,                 0.9792,                0.98352,                0.83471,                0.60557,                0.34357,                 1.1107,             0.00011569,             0.00011569,             0.00011569
                     96,                0.32069,                 0.2448,                0.86691,                0.96185,                0.97905,                0.98943,                0.84307,                0.60938,                0.32835,                 1.0995,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.31366,                 0.2357,                0.86196,                0.96184,                0.98058,                  0.989,                0.84002,                0.61468,                 0.3234,                 1.0934,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.30223,                 0.2309,                0.86271,                0.96223,                0.98949,                0.99223,                 0.8358,                0.61724,                0.33267,                 1.0925,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.30094,                0.22913,                0.85372,                0.96222,                0.98923,                0.99326,                0.84473,                0.60781,                0.32482,                 1.0798,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.31066,                 0.2318,                0.86187,                0.96224,                0.98957,                0.99316,                0.84216,                0.60365,                0.31714,                  1.085,             3.3173e-05,             3.3173e-05,             3.3173e-05
